START
,Fresh fruit (A-N),,
,"Banana, common, firm",g,100g,-,-,-,-,
,"Banana, sugar, firm",g,Free use,-,-,-,-,
,Breadfruit,g,Free use,-,-,-,-,
,Carambola,g,Free use,-,-,-,-,
,Clementine,g,Free use,-,-,-,-,
,Dragon fruit,g,Free use,-,-,-,-,
,Durian,g,Free use,-,-,-,-,x
,"Grape, thompson",g,Free use,-,-,-,-,
,"Grapes, black muscatel",g,Free use,-,-,-,-,
,"Grapes, ralli seedless",g,Free use,-,-,-,-,
,Weintrauben rot,g,Free use,-,-,-,-,
,"Grapes, red globe",g,Free use,-,-,-,-,
,"Guava, reif",g,Free use,-,-,-,-,
,"Kiwi, gold",g,Free use,-,-,-,-,
,Zitronensaft,g,Free use,-,-,-,-,
,"Lime, juice",g,Free use,-,-,-,-,
,"Mandarin, imperial",g,Free use,-,-,-,-,
,Mangosteen,g,Free use,-,-,-,-,
,"Apple, granny smith",r,0  g,-,x,x,-,
,"Apple, granny smith, peeled",r,0  g,-,x,x,-,
,"Apple, pink lady",r,0  g,-,x,x,-,
,"Apple, pink lady, peeled",r,0  g,-,x,x,-,
,Apricot,r,0  g,x,-,x,-,
,Blackberry,r,0  g,-,-,x,-,
,Boysenberry,r,0  g,-,x,-,-,
,Kirschen,r,0  g,-,x,x,-,
,Custard apple,r,0  g,x,-,-,-,
,Feijoa,r,0  g,-,x,-,-,
,"Figs, fresh",r,0  g,-,x,-,-,
,Grapefruit,r,0  g,x,-,-,-,
,"Guava, unreif",r,0  g,-,x,-,-,
,Lychee,r,0  g,-,-,x,-,
,Mango,r,0  g,-,x,-,-,
,Nectarine,r,0  g,x,-,x,-,
,Avocado,y,20  g,-,-,x,-,
,"Banana, common, ripe",y,33g,x,-,-,-,
,"Banana, sugar, ripe",y,56  g,-,x,-,-,
,Blueberry,y,28g,x,-,-,-,
,Cantaloupe,y,90  g,x,-,-,-,
,Kokosnuss ,y,48  g,-,-,x,-,
,Cumquats,y,88  g,x,-,-,-,
,"Cumquats, peeled",y,78  g,x,-,-,-,
,"Kiwi fruit, green",y,150  g,x,-,-,-,
,Longan,y,15  g,-,-,x,-,
,"Melon, honeydew",y,90  g,x,-,-,-,
,Fresh fruit (O-W),,
,"Orange, navel",g,Free use,-,-,-,-,
,Paw paw,g,Free use,-,-,-,-,
,"Pear, prickly",g,Free use,-,-,-,-,
,"Plaintain, peeled",g,Free use,-,-,-,-,
,Rhubarb,g,Free use,-,-,-,-,
,Starfruit,g,Free use,-,-,-,-,
,Erdbeere,g,Free use,-,-,-,-,
